DateTime,AddedIPs,RemovedIPs
1510305341,1055,78090
1510306503,256,256
1510307408,256,256
1510309201,17,6
1510310103,256,256
1510310886,1,1
1510311187,256,256
1510312804,13,11
1510314003,256,256
1510314902,256,256
1510316165,3,12
1510317033,256,256
1510318566,256,256
1510319751,22,6
1510323374,0,10
1510324324,2,0
1510326249,1,0
1510326947,4,25
1510330802,6,20
1510332006,1,0
1510333221,4096,34048
1510334147,28,18
1510338002,14,2
1510341610,16,10
1510342503,256,256
1510345450,12,5
1510345857,0,1
1510346102,1,0
1510348525,15,7
1510352168,5,10
1510356605,1,0
1510357449,6,6
1510360234,297,282
1510362972,6,9
1510366803,10,17
1510369214,0,1
1510369501,1,0
1510370215,9,23
1510373759,15,18
1510377353,20,2
1510380965,4,5
1510382103,256,256
1510385102,8,2
1510388645,3,26
1510391765,14,24
1510395351,15,12
1510399202,32,16
1510402568,9,4
1510406145,7,11
1510408202,0,1
1510410002,17,10
1510413605,3,37
1510416976,24,13
1510418708,0,1
1510419902,3584,30976
1510420557,13,6
1510424410,4,9
1510428244,34,6
1510429802,1,0
1510431402,6,13
1510434940,10,8
1510437845,1,1
1510438526,2,6
1510440305,1,0
1510442179,8,26
1510445776,1280,1280
1510446002,38,3
1510449605,11,22
1510450802,256,256
1510452957,256,256
1510453448,19,2
1510455752,256,256
1510456573,11,33
1510460401,11,15
1510463754,8,13
1510465202,256,256
1510467602,9,22
1510470302,256,256
1510470953,15,18
1510474566,1,0
1510474802,11,21
1510478406,11,7
1510481730,16,9
1510485602,26,8
1510489202,17,6
1510492521,2,3
1510495228,1,0
1510497124,6,7
1510500002,8,23
1510503370,14,14
1510505701,4352,6144
1510507202,9,4
1510510802,3,13
1510514408,10,33
1510518244,22,18
1510521314,21,7
1510524947,11,3
1510528505,22,2
1510532196,31,4
1510534202,0,1
1510534932,1025,1024
1510536642,7,2
1510539609,2,6
1510540802,256,256
1510543444,2,32
1510546545,2,20
1510550402,4,12
1510553731,7,15
1510555802,256,256
1510557602,17,5
1510558238,256,256
1510560942,10,6
1510564581,4,2
1510568407,18,5
1510570328,1,0
1510572244,12,5
1510575601,2,24
1510583287,14,27
1510586132,12,13
1510589754,25,8
1510591808,1792,6144
1510593329,256,256
1510593602,17,6
1510596968,5,4
1510600802,6,5
1510604408,3,9
1510608487,4,16
1510611328,23,8
1510615202,11,12
1510617603,0,2
1510618802,29,7
1510621929,1536,1536
1510622159,20,2
1510623303,256,256
1510626002,6,27
1510627201,0,1
1510627686,1,1
1510627802,1,0
1510629604,23,43
1510633444,6,5
1510634102,256,256
1510636520,11,19
1510640164,6,7
1510643288,4,0
1510643720,0,1
1510644002,19,9
1510647325,0,2
1510647346,6,5
1510651202,7,7
1510654808,9,4
1510658645,11,13
