DateTime,Entries,UniqueIPs
1507953635,2892,2923
1507959035,2896,2927
1507964442,2878,2912
1507969834,2897,2931
1507975235,2886,2920
1507980035,2854,2888
1507985434,2828,2860
1507990835,2821,2853
1507996834,2840,2872
1508000433,2846,2878
1508004635,2865,2899
1508011235,2895,2928
1508015435,2891,2924
1508021435,2836,2867
1508026235,2793,2827
1508032835,2856,2892
1508038835,2828,2863
1508043034,2807,2841
1508048435,2804,2837
1508053835,2763,2795
1508059235,2757,2789
1508064635,2773,2804
1508070635,2792,2825
1508076035,2797,2831
1508080834,2791,2825
1508085636,2745,2778
1508089232,2761,2796
1508094634,2765,2800
1508100036,2779,2813
1508105434,2774,2808
1508109032,2803,2837
1508112635,2844,2878
1508119835,2853,2887
1508125236,2761,2794
1508130635,2782,2816
1508136635,2771,2804
1508142035,2762,2795
1508148035,2759,2792
1508152835,2772,2805
1508158834,2754,2786
1508164834,2750,2782
1508170835,2764,2797
1508176235,2749,2782
1508181036,2759,2791
1508186435,2815,2847
1508190032,2854,2886
1508195434,2808,2838
1508201435,2794,2825
1508206838,2779,2811
1508212834,2780,2812
1508218234,2740,2772
1508223034,2752,2783
1508228435,2781,2812
1508233834,2726,2757
1508239235,2700,2731
1508245236,2694,2725
1508250035,2624,2654
1508255435,2667,2697
1508260235,2685,2715
1508266236,2690,2720
1508271635,2690,2719
1508276435,2645,2675
1508282437,2694,2724
1508287235,2666,2698
1508293835,2720,2753
1508299835,2665,2695
1508304036,2609,2637
1508309434,2629,2657
1508314834,2579,2607
1508320234,2569,2597
1508325634,2603,2632
1508330436,2542,2571
1508337034,2553,2583
1508341834,2493,2522
1508346635,2498,2527
1508350231,2529,2558
1508353834,2553,2583
1508359234,2538,2568
1508362232,2575,2605
1508366435,2558,2588
1508370031,2596,2626
1508376034,2565,2595
1508382035,2532,2563
1508386834,2532,2562
1508392234,2533,2561
1508397635,2516,2544
1508403034,2506,2535
1508409038,2484,2514
1508413834,2505,2535
1508419235,2497,2527
1508424634,2495,2524
1508430036,2520,2549
1508434834,2521,2550
1508440235,2533,2563
1508445636,2551,2581
1508448633,2554,2586
1508452835,2620,2652
1508458234,2584,2613
1508464235,2566,2595
1508469635,2563,2593
1508475035,2551,2579
1508480435,2556,2582
1508485234,2537,2562
1508490634,2533,2559
1508494232,2582,2608
1508497835,2574,2601
1508501432,2583,2611
1508507435,2555,2581
1508512234,2528,2553
1508517634,2549,2575
1508523037,2542,2568
1508526632,2567,2600
1508532035,2575,2610
1508536835,2561,2597
1508540432,2616,2652
1508544635,2600,2638
1508548232,2634,2672
1508554236,2632,2672
1508560235,2640,2679
1508565034,2615,2652
1508571037,2634,2670
1508575835,2622,2659
1508580638,2614,2651
1508586035,2581,2617
1508592035,2606,2643
1508597435,2596,2632
1508602835,2600,2638
1508607635,2613,2651
1508613035,2604,2642
1508616632,2626,2665
1508622035,2632,2671
1508627435,2632,2672
1508631032,2653,2694
1508637035,2624,2664
1508643037,2608,2648
1508648434,2597,2635
1508653834,2595,2634
1508658634,2590,2629
1508663434,2598,2637
1508668835,2597,2636
1508674835,2607,2646
1508680234,2575,2614
1508685634,2589,2628
1508690435,2619,2658
1508695234,2638,2677
1508699436,2654,2693
1508704234,2678,2716
1508708434,2667,2705
1508713834,2699,2738
1508719235,2650,2688
1508723434,2633,2672
1508728835,2630,2670
1508734834,2653,2693
1508739635,2628,2668
1508745635,2629,2669
1508750434,2610,2652
1508755235,2599,2640
1508761835,2636,2677
1508766634,2580,2620
1508771434,2575,2614
1508776834,2596,2636
1508781634,2616,2656
1508788832,2617,2657
1508792435,2636,2676
1508796033,2652,2692
1508803832,2643,2684
1508807434,2677,2719
1508814035,2628,2669
1508819435,2631,2670
1508824235,2629,2668
1508829635,2634,2673
1508835035,2635,2674
1508840434,2640,2678
1508845834,2635,2673
1508851235,2623,2661
1508856634,2614,2651
1508862035,2635,2672
1508866835,2637,2674
1508872236,2636,2674
1508875832,2664,2702
1508881235,2647,2686
1508886635,2687,2726
1508890232,2706,2745
1508895635,2673,2712
1508901034,2664,2702
1508907636,2678,2716
1508913035,2666,2703
1508918501,2653,2691
1508923836,2610,2649
1508928635,2606,2645
1508934035,2592,2631
1508939434,2579,2618
1508944235,2576,2615
1508949035,2570,2609
1508952632,2595,2635
1508956835,2606,2647
1508960432,2635,2676
1508965234,2604,2644
1508968832,2626,2667
1508972434,2618,2658
1508976635,2605,2645
1508982634,2598,2639
1508988034,2556,2597
1508993435,2530,2569
1508998834,2562,2602
1509003634,2520,2559
1509009035,2503,2541
1509012631,2493,2531
1509017434,2488,2526
1509021634,2480,2517
1509027035,2462,2499
1509032436,2473,2510
1509037235,2479,2517
1509040832,2502,2540
1509045035,2463,2500
1509050434,2510,2547
1509055835,2530,2566
1509061234,2799,2837
1509067235,2914,2953
1509073235,2944,2983
1509079234,2945,2984
1509083434,2930,2969
1509089436,2939,2978
1509094836,2954,2993
1509099635,2987,3027
1509105035,3031,3072
1509110435,3039,3082
1509115835,3046,3090
1509121835,3105,3149
1509127836,3161,3206
1509134441,3207,3255
1509139835,3226,3276
1509145236,3282,3334
1509150635,3283,3334
1509156637,3271,3322
1509163836,3260,3310
1509170435,3264,3314
1509176435,3187,3237
1509181235,3182,3234
1509186638,3213,3266
1509192035,3187,3240
1509197435,3160,3207
1509202835,3158,3206
1509207635,3138,3186
1509213037,3099,3147
1509219035,3148,3196
1509223835,3120,3170
1509229836,3186,3236
1509235236,3118,3167
1509240636,3195,3244
1509246636,3322,3369
1509254436,3284,3327
1509261036,3324,3367
1509267036,3284,3326
1509273038,3289,3330
1509278435,3217,3257
1509284436,3169,3209
1509291035,3200,3239
1509295836,3168,3207
1509301235,3149,3186
1509306635,3171,3207
1509311435,3159,3194
1509315635,3150,3186
1509321035,3151,3187
1509327035,3208,3245
1509333635,3205,3242
1509340235,3189,3227
1509345035,3148,3187
1509350435,3164,3205
1509355836,2951,2991
1509361836,2809,2849
1509366635,2815,2855
1509370835,2815,2854
1509378035,2884,2923
1509384035,2861,2899
1509389435,2874,2912
1509394237,2897,2938
1509399635,2915,2954
1509405035,2945,2984
